pr_id,label,raw_prediction,rejection_probability,y_pred,rationale
3208247197,0,accepted,0.3142,0,
3192244623,0,accepted,0.35,0,
3196981192,0,accepted,0.2015,0,
3204995137,0,rejected,0.55,1,
3222235753,0,rejected,0.6732,1,
3213091409,0,accepted,0.1234,0,
3225245522,1,accepted,0.4217,0,
3206197492,0,accepted,0.25,0,
3203043702,0,rejected,0.7243,1,
3225229319,1,accepted,0.42,0,
3200511935,0,accepted,0.2341,0,
3221166299,1,rejected,0.7632,1,
3225540340,0,accepted,0.2468,0,
3226192286,0,rejected,0.7205,1,
3194014636,0,accepted,0.2341,0,
3214122373,0,accepted,0.1823,0,
3189781191,0,accepted,0.1842,0,
3211995799,0,rejected,0.6532,1,
3199884050,0,accepted,0.1234,0,
3192604530,1,rejected,0.7532,1,
3190464879,0,rejected,0.75,1,
3191789111,0,accepted,0.2345,0,
3225993657,1,accepted,0.1204,0,
3221925890,0,rejected,0.6742,1,
3189779251,0,accepted,0.1234,0,
3207071991,0,rejected,0.6532,1,
3200923634,0,accepted,0.3471,0,
3193344742,0,rejected,0.7842,1,
3195544033,0,rejected,0.55,1,
3195477892,0,accepted,0.2543,0,
3225256791,1,accepted,0.12,0,
3224080802,0,rejected,0.8742,1,
3224106600,0,rejected,0.6532,1,
3199906831,0,accepted,0.1204,0,
3194873632,1,accepted,0.1823,0,
3194800623,0,rejected,0.7205,1,
3220097416,0,accepted,0.1243,0,
3220364342,0,rejected,0.8203,1,
3211948604,0,accepted,0.3721,0,
3210844014,1,rejected,0.8203,1,
3197430608,0,accepted,0.1204,0,
3189765757,0,accepted,0.1234,0,
3202227602,1,accepted,0.25,0,
3189800591,0,accepted,0.25,0,
3199893381,0,accepted,0.3042,0,
3190566953,0,rejected,0.65,1,
3200393827,1,accepted,0.42,0,
3202328272,1,accepted,0.1234,0,
3198091319,0,accepted,0.21,0,
3220160518,0,accepted,0.1234,0,
